Instituto Nacional Para Ciegos INCI, http://www.inci.gov.co/index.php
Touch the invisible sky by  NASA, http://science.nasa.gov/science-news/science-at-nasa/2008/15jan_touch/ 
Braille E-book, https://www.youtube.com/watch?v=S82wd-oeVbk
Touchable Screens, http://www.dailymail.co.uk/sciencetech/article-2458720/Disney-Algorithms-touchscreen-enables-feel-TEXTURE.html
Hubble 3d images, http://www.nasa.gov/content/goddard/hubble-images-become-tactile-3-d-experience-for-the-blind/#.VCsF1d_GySQ
UT material, http://www.as.utexas.edu/astronomy/research/people/ries/space_vision.html
Discapacitados en Colombia, https://www.dane.gov.co/files/censo2005/discapacidad.pdf

